gene_name,prediction,score,Pfam,PANTHER,SUPERFAMILY
Dsp1,True,0.9415,HMG-box domain,HIGH MOBILITY GROUP PROTEIN DSP1,HMG-box
br,True,0.9571,BTB/POZ domain,BTB DOMAIN TRANSCRIPTION FACTOR,POZ domain
lola-PAA,True,0.9979,N/A,N/A,N/A
lola,True,0.9977,BTB/POZ domain,BTB DOMAIN TRANSCRIPTION FACTOR,POZ domain
sbb,True,0.8008,N/A,BRAKELESS PROTEIN,N/A
Imp,True,0.8465,RNA recognition motif,KH DOMAIN CONTAINING RNA BINDING PROTEIN,Eukaryotic type KH-domain (KH-domain type I)
prg,True,0.9855,Zinc-finger associated domain (zf-AD),ODD-SKIPPED - RELATED,beta-beta-alpha zinc fingers
vrs,True,0.6928,N/A,N/A,N/A
Orc1,True,0.7275,"CDC6, C terminal winged helix domain",CELL DIVISION CONTROL PROTEIN 6-RELATED,P-loop containing nucleoside triphosphate hydrolases
CG46399,True,0.8669,N/A,N/A,N/A
CG46434,True,0.5618,N/A,N/A,N/A
CG46440,True,0.9465,N/A,N/A,N/A
dbf,True,0.6658,Zinc-finger of C2H2 type,ZINC FINGER MATRIN-TYPE PROTEIN 3,beta-beta-alpha zinc fingers
esg,True,0.9991,"Zinc finger, C2H2 type",ZINC FINGER PROTEIN,beta-beta-alpha zinc fingers
CG46504,True,0.9596,RNA recognition motif,ACTIVATOR OF BASAL TRANSCRIPTION 1,"RNA-binding domain, RBD"
CG46505,True,0.8382,RNA recognition motif,ACTIVATOR OF BASAL TRANSCRIPTION 1,"RNA-binding domain, RBD"
CG46506,True,0.9474,RNA recognition motif,ACTIVATOR OF BASAL TRANSCRIPTION 1,"RNA-binding domain, RBD"
CG46507,True,0.9422,RNA recognition motif,ACTIVATOR OF BASAL TRANSCRIPTION 1,"RNA-binding domain, RBD"
CG46508,True,0.956,RNA recognition motif,ACTIVATOR OF BASAL TRANSCRIPTION 1,"RNA-binding domain, RBD"
CG46509,True,0.9448,RNA recognition motif,ACTIVATOR OF BASAL TRANSCRIPTION 1,"RNA-binding domain, RBD"
CG46510,True,0.9513,RNA recognition motif,ACTIVATOR OF BASAL TRANSCRIPTION 1,"RNA-binding domain, RBD"
CG46511,True,0.9489,RNA recognition motif,ACTIVATOR OF BASAL TRANSCRIPTION 1,"RNA-binding domain, RBD"
CG46512,True,0.9504,RNA recognition motif,ACTIVATOR OF BASAL TRANSCRIPTION 1,"RNA-binding domain, RBD"
CG46513,True,0.956,RNA recognition motif,ACTIVATOR OF BASAL TRANSCRIPTION 1,"RNA-binding domain, RBD"
CG46514,True,0.8382,RNA recognition motif,ACTIVATOR OF BASAL TRANSCRIPTION 1,"RNA-binding domain, RBD"
CG46515,True,0.8382,RNA recognition motif,ACTIVATOR OF BASAL TRANSCRIPTION 1,"RNA-binding domain, RBD"
CG46516,True,0.8382,RNA recognition motif,ACTIVATOR OF BASAL TRANSCRIPTION 1,"RNA-binding domain, RBD"
CG46517,True,0.956,RNA recognition motif,ACTIVATOR OF BASAL TRANSCRIPTION 1,"RNA-binding domain, RBD"
CG46518,True,0.8382,RNA recognition motif,ACTIVATOR OF BASAL TRANSCRIPTION 1,"RNA-binding domain, RBD"
CG46519,True,0.956,RNA recognition motif,ACTIVATOR OF BASAL TRANSCRIPTION 1,"RNA-binding domain, RBD"
CG46520,True,0.8382,RNA recognition motif,ACTIVATOR OF BASAL TRANSCRIPTION 1,"RNA-binding domain, RBD"
CG46521,True,0.7813,RNA recognition motif,ACTIVATOR OF BASAL TRANSCRIPTION 1,"RNA-binding domain, RBD"
CG46522,True,0.8382,RNA recognition motif,ACTIVATOR OF BASAL TRANSCRIPTION 1,"RNA-binding domain, RBD"
tx,True,0.9973,Helix-loop-helix DNA-binding domain,BASIC HELIX-LOOP-HELIX PROTEIN NEUROGENIN-RELATED,"HLH, helix-loop-helix DNA-binding domain"
Med,True,0.8852,MH1 domain,SMAD,SMAD MH1 domain
CG9173,True,0.886,N/A,N/A,N/A
indra,True,0.5054,"Zinc finger, C2H2 type",ZINC FINGER PROTEIN 142,beta-beta-alpha zinc fingers
CG32846,True,0.7199,N/A,N/A,N/A
CG15812,True,0.9672,BTB/POZ domain,BTB DOMAIN TRANSCRIPTION FACTOR,POZ domain
Ythdc1,True,0.7073,YT521-B-like domain,YTH  YT521-B HOMOLOGY  DOMAIN-CONTAINING,N/A
Asciz,True,0.5343,N/A,ATM INTERACTOR,N/A
Awh,True,0.9899,LIM domain,LIM/HOMEOBOX PROTEIN LHX,Glucocorticoid receptor-like (DNA-binding domain)
CG32264,True,0.5947,RPEL repeat,PHOSPHATASE AND ACTIN REGULATOR  PHACTR,N/A
TP53INP,True,0.9307,DOR family,"DIABETES AND OBESITY REGULATED, ISOFORM G",N/A
HDAC1,True,0.9966,Histone deacetylase domain,HISTONE DEACETYLASE HDAC1-RELATED,Arginase/deacetylase
Dnah3,True,0.7261,Dynein heavy chain region D6 P-loop domain,"DYNEIN HEAVY CHAIN 6, AXONEMAL-LIKE-RELATED",P-loop containing nucleoside triphosphate hydrolases
CG2202,True,0.9937,"Zinc finger, C2H2 type",PR DOMAIN ZINC FINGER PROTEIN,beta-beta-alpha zinc fingers
Lint-1,True,0.8062,N/A,N/A,N/A
CG1737,True,0.9701,N/A,N/A,N/A
HP5,True,0.8562,N/A,N/A,N/A
CG11696,True,0.9931,"Zinc finger, C2H2 type",ZINC FINGER PROTEIN,beta-beta-alpha zinc fingers
CG11695,True,0.9166,C2H2-type zinc finger,ZINC FINGER PROTEIN,beta-beta-alpha zinc fingers
Met,True,0.9778,Helix-loop-helix DNA-binding domain,CIRCADIAN PROTEIN CLOCK/ARNT/BMAL/PAS,PYP-like sensor domain (PAS domain)
Vlet,True,0.6647,COMM domain,COMM DOMAIN CONTAINING PROTEIN 10,N/A
Lsm12a,True,0.7757,Anticodon-binding domain,LSM12 HOMOLOG,N/A
Chrac-16,True,0.9746,Histone-like transcription factor (CBF/NF-Y) and archaeal histone,HISTONE-LIKE TRANSCRIPTION FACTOR CCAAT-RELATED,Histone-fold
CG11085,True,0.9918,Homeodomain,IP01054P,Homeodomain-like
Pits,True,0.9545,Interferon regulatory factor 2-binding protein zinc finger,MYELIN TRANSCRIPTION FACTOR 1-RELATED,RING/U-box
CG32651,True,0.7864,Domain of unknown function (DUF4729),N/A,N/A
CG15725,True,0.8577,BTB/POZ domain,AGAP004733-PA,POZ domain
CG4004,True,0.9753,Alcohol dehydrogenase transcription factor Myb/SANT-like,MADF DOMAIN-CONTAINING PROTEIN-RELATED,N/A
CG4404,True,0.9384,BESS motif,MADF DOMAIN TRANSCRIPTION FACTOR,N/A
CG4318,True,0.8934,"Zinc finger, C2H2 type",PR DOMAIN ZINC FINGER PROTEIN,beta-beta-alpha zinc fingers
dmrt11E,True,0.9935,DM DNA binding domain,DOUBLESEX AND MAB-3 RELATED TRANSCRIPTION FACTOR  DMRT,"Cysteine-rich DNA binding domain, (DM domain)"
Mrgn1,True,0.5371,"Zinc finger, C3HC4 type (RING finger)",MAHOGUNIN,RING/U-box
tth,True,0.7166,"DPF1-3, N-terminal",HL01030P-RELATED,N/A
CG9411,True,0.685,N/A,N/A,N/A
CG6340,True,0.8202,Small acidic protein family,ARGININE_SERINE-RICH COILED-COIL PROTEIN 2,N/A
CG8117,True,0.7875,Transcription factor S-II (TFIIS),TRANSCRIPTION FACTOR S-II ZINC FINGER DOMAIN-CONTAINING PROTEIN,Zinc beta-ribbon
CG12708,True,0.788,Domain of unknown function (DUF4799),N/A,N/A
CG15646,True,0.9182,Domain of unknown function (DUF4799),N/A,N/A
CG9215,True,0.9861,Zinc-finger associated domain (zf-AD),PR DOMAIN ZINC FINGER PROTEIN,beta-beta-alpha zinc fingers
CG8191,True,0.8644,N/A,N/A,N/A
sd,True,0.9417,YAP binding domain,TRANSCRIPTIONAL ENHANCER FACTOR  TEF  RELATED,N/A
CG8565,True,0.6434,Protein kinase domain,PROTEIN KINASE DOMAIN-CONTAINING PROTEIN-RELATED,Protein kinase-like (PK-like)
CG8924,True,0.9312,BTB/POZ domain,BTB DOMAIN TRANSCRIPTION FACTOR,POZ domain
Myb,True,0.9923,Myb-like DNA-binding domain,MYB PROTEIN-RELATED,Homeodomain-like
CG8944,True,0.7348,C2H2-type zinc finger,KRAB AND ZINC FINGER DOMAIN-CONTAINING,beta-beta-alpha zinc fingers
CG32572,True,0.5585,N/A,N/A,N/A
CG4768,True,0.5641,Telomere attrition and p53 response 1 protein-like,UPF0472 PROTEIN C16ORF72,N/A
CG9609,True,0.943,"Zinc finger, C2H2 type",ZINC FINGER PROTEIN,beta-beta-alpha zinc fingers
wcy,True,0.6635,WW domain,WW DOMAIN-CONTAINING ADAPTER PROTEIN WITH COILED-COIL,WW domain
CG13000,True,0.5847,N/A,N/A,N/A
B-H2,True,0.998,Homeodomain,HOMEOBOX PROTEIN BARH-LIKE,Homeodomain-like
B-H1,True,0.9915,Homeodomain,HOMEOBOX PROTEIN BARH-LIKE,Homeodomain-like
CG8675,True,0.9773,Uncharacterized conserved protein (DUF2039),ZGC:101016,N/A
unc-4,True,0.9945,Homeodomain,HOMEOBOX PROTEIN UNC-4 HOMOLOG,Homeodomain-like
OdsH,True,0.9938,Homeodomain,HOMEOBOX PROTEIN UNC-4 HOMOLOG,Homeodomain-like
CG6769,True,0.5692,Zinc-finger double-stranded RNA-binding,ZINC FINGER PROTEIN 622,beta-beta-alpha zinc fingers
Ada3,True,0.9309,Histone acetyltransferases subunit 3,TRANSCRIPTIONAL ADAPTER 3-RELATED,N/A
CG12672,True,0.6156,N/A,PROTEIN CBG18546,N/A
Hesr,True,0.8178,Helix-loop-helix DNA-binding domain,"BASIC HELIX-LOOP-HELIX TRANSCRIPTION FACTOR, HES-RELATED","HLH, helix-loop-helix DNA-binding domain"
CG12609,True,0.5327,Alcohol dehydrogenase transcription factor Myb/SANT-like,MADF DOMAIN-CONTAINING PROTEIN-RELATED,N/A
CG6470,True,0.9059,N/A,N/A,beta-beta-alpha zinc fingers
CG7101,True,0.9799,"Zinc finger, C2H2 type",KRAB AND ZINC FINGER DOMAIN-CONTAINING,beta-beta-alpha zinc fingers
CG14190,True,0.5429,N/A,N/A,N/A
CG32532,True,0.9985,Homeodomain,HOMEOBOX PROTEIN ARISTALESS,Homeodomain-like
CG17732,True,0.8346,N/A,N/A,N/A
Su(z)12,True,0.9695,VEFS-Box of polycomb protein,POLYCOMB GROUP PROTEIN,N/A
cyc,True,0.8915,PAS domain,CIRCADIAN PROTEIN CLOCK/ARNT/BMAL/PAS,PYP-like sensor domain (PAS domain)
wnd,True,0.7001,Protein tyrosine and serine/threonine kinase,SERINE/THREONINE-PROTEIN KINASE TNNI3K-RELATED,Protein kinase-like (PK-like)
Max,True,0.9637,Helix-loop-helix DNA-binding domain,PROTEIN MAX  MYC-ASSOCIATED FACTOR X,"HLH, helix-loop-helix DNA-binding domain"
Spn75F,True,0.9371,Serpin (serine protease inhibitor),"SERINE PROTEASE INHIBITOR, SERPIN",Serpins
ftz-f1,True,0.9969,Ligand-binding domain of nuclear hormone receptor,NUCLEAR RECEPTOR SUBFAMILY 5 GROUP A,Nuclear receptor ligand-binding domain
Capr,True,0.8197,Caprin-1 dimerization domain,GPI-ANCHORED PROTEIN P137,N/A
CG7271,True,0.6844,N/A,N/A,N/A
term,True,0.6786,N/A,N/A,N/A
CG7320,True,0.5928,"Hemocyanin, copper containing domain",LARVAL STORAGE PROTEIN/PHENOLOXIDASE,Di-copper centre-containing domain
Crtc,True,0.7714,"Transducer of regulated CREB activity, N terminus",CREB-REGULATED TRANSCRIPTION COACTIVATOR,N/A
tap,True,0.9978,Helix-loop-helix DNA-binding domain,BASIC HELIX-LOOP-HELIX PROTEIN NEUROGENIN-RELATED,"HLH, helix-loop-helix DNA-binding domain"
Gorab,True,0.5497,Transcriptional activator,RAB6-INTERACTING PROTEIN GORAB,N/A
CG32170,True,0.8228,N/A,N/A,N/A
TSG101,True,0.9399,Vps23 core domain,TUMOR SUSCEPTIBILITY GENE 101 PROTEIN-RELATED,UBC-like
roq,True,0.9937,zinc-RING finger domain,RING FINGER AND CCCH-TYPE ZINC FINGER DOMAIN-CONTAINING PROTEIN,CCCH zinc finger
Mbs,True,0.6318,cGMP-dependent protein kinase interacting domain,PROTEIN PHOSPHATASE 1 REGULATORY SUBUNIT 12,Ankyrin repeat
Taf4,True,0.8492,Transcription initiation factor TFIID component TAF4 family,TRANSCRIPTION INITIATION FACTOR TFIID SUBUNIT 4,Histone-fold
CG13055,True,0.5175,Domain of unknown function (DUF4797),N/A,N/A
CG13073,True,0.8663,N/A,N/A,N/A
CG5151,True,0.6681,N/A,N/A,N/A
CrebA,True,0.9954,bZIP transcription factor,CYCLIC AMP RESPONSE ELEMENT-BINDING PROTEIN A,Leucine zipper domain
Phs,True,0.9851,C2H2-type zinc finger,TRANSCRIPTIONAL REPRESSOR PROTEIN YY,beta-beta-alpha zinc fingers
GlyRS,True,0.5854,WHEP-TRS domain,GLYCYL-TRNA SYNTHETASE/DNA POLYMERASE SUBUNIT GAMMA-2,Class II aaRS and biotin synthetases
sstn,True,0.6021,N/A,N/A,N/A
ind,True,0.9946,Homeodomain,HOMEOBOX PROTEIN EMX-RELATED,Homeodomain-like
NHP2,True,0.88,Ribosomal protein L7Ae/L30e/S12e/Gadd45 family,RIBOSOMAL PROTEIN L7AE FAMILY MEMBER,L30e-like
CG3919,True,0.6964,Alcohol dehydrogenase transcription factor Myb/SANT-like,MADF DOMAIN TRANSCRIPTION FACTOR,N/A
HGTX,True,0.9984,Homeodomain,HOMEOBOX PROTEIN NKX,Homeodomain-like
CG13481,True,0.8828,Ring finger domain,RFWD3 PROTEIN,RING/U-box
D,True,0.9965,HMG (high mobility group) box,SOX TRANSCRIPTION FACTOR,HMG-box
Sox21b,True,0.9953,HMG (high mobility group) box,SOX TRANSCRIPTION FACTOR,HMG-box
Sox21a,True,0.9981,HMG (high mobility group) box,SOX TRANSCRIPTION FACTOR,HMG-box
CG17359,True,0.9934,Zinc-finger associated domain (zf-AD),PR DOMAIN ZINC FINGER PROTEIN,Glucocorticoid receptor-like (DNA-binding domain)
Meics,True,0.958,C2H2-type zinc finger,ZINC FINGER PROTEIN,beta-beta-alpha zinc fingers
CG10710,True,0.8597,N/A,N/A,N/A
dokb,True,0.8751,N/A,N/A,N/A
cmb,True,0.6821,N/A,N/A,N/A
CG10713,True,0.6046,N/A,N/A,N/A
sens,True,0.9589,"Zinc finger, C2H2 type",ZINC FINGER PROTEIN,beta-beta-alpha zinc fingers
ara,True,0.9987,Homeobox KN domain,IROQUOIS-CLASS HOMEODOMAIN PROTEIN IRX,Homeodomain-like
caup,True,0.9986,Homeobox KN domain,IROQUOIS-CLASS HOMEODOMAIN PROTEIN IRX,Homeodomain-like
mirr,True,0.9965,Homeobox KN domain,IROQUOIS-CLASS HOMEODOMAIN PROTEIN IRX,Homeodomain-like
CG10969,True,0.639,N/A,HOMEOBOX PROTEIN BARH-LIKE,N/A
Lmx1a,True,0.9995,Homeodomain,LIM/HOMEOBOX PROTEIN LHX,Glucocorticoid receptor-like (DNA-binding domain)
CG10654,True,0.9171,"Zinc finger, C2H2 type",PR DOMAIN ZINC FINGER PROTEIN,beta-beta-alpha zinc fingers
toe,True,0.9905,'Paired box' domain,PAIRED BOX PROTEIN PAX-6-RELATED-RELATED,Homeodomain-like
ArfGAP1,True,0.7809,Putative GTPase activating protein for Arf,ADP-RIBOSYLATION FACTOR GTPASE-ACTIVATING PROTEIN 1,ArfGap/RecO-like zinc finger
CG11560,True,0.697,N/A,MYB_SANT-LIKE DNA-BINDING DOMAIN-CONTAINING PROTEIN 1,N/A
CG4328,True,0.9976,Homeodomain,LIM/HOMEOBOX PROTEIN LHX,Glucocorticoid receptor-like (DNA-binding domain)
yps,True,0.9764,'Cold-shock' DNA-binding domain,COLD SHOCK DOMAIN CONTAINING PROTEINS,Nucleic acid-binding proteins
byn,True,0.9961,T-box,T-BOX PROTEIN-RELATED,p53-like transcription factors
CG7368,True,0.9914,"Zinc finger, C2H2 type",ZINC FINGER PROTEIN,beta-beta-alpha zinc fingers
RIOK1,True,0.5564,RIO domain,SERINE/THREONINE-PROTEIN KINASE RIO1,Protein kinase-like (PK-like)
CG6163,True,0.9703,Alcohol dehydrogenase transcription factor Myb/SANT-like,MADF DOMAIN TRANSCRIPTION FACTOR,N/A
FoxK,True,0.9941,Forkhead domain,"CHECKPOINT SUPPRESSOR 1-LIKE, ISOFORM A-RELATED",SMAD/FHA domain
klu,True,0.9985,"Zinc finger, C2H2 type",PR DOMAIN ZINC FINGER PROTEIN,beta-beta-alpha zinc fingers
hay,True,0.9524,Helicase conserved C-terminal domain,RAD25/XP-B DNA REPAIR HELICASE,P-loop containing nucleoside triphosphate hydrolases
E(z),True,0.9707,Polycomb repressive complex 2 tri-helical domain,HISTONE-LYSINE N-METHYLTRANSFERASE E(Z),SET domain
CG8065,True,0.7072,Domain of unknown function (DUF4763),N/A,N/A
Ciz1,True,0.9275,N/A,N/A,N/A
MTF-1,True,0.9884,"Zinc finger, C2H2 type",ZINC FINGER PROTEIN,beta-beta-alpha zinc fingers
phol,True,0.9995,"Zinc finger, C2H2 type",TRANSCRIPTIONAL REPRESSOR PROTEIN YY,beta-beta-alpha zinc fingers
Nf-YA,True,0.8511,CCAAT-binding transcription factor (CBF-B/NF-YA) subunit B,TRANSCRIPTION FACTOR NF-Y ALPHA-RELATED,N/A
Doc3,True,0.9991,T-box,T-BOX PROTEIN-RELATED,p53-like transcription factors
Doc1,True,0.9995,T-box,T-BOX PROTEIN-RELATED,p53-like transcription factors
Prm,True,0.5022,Myosin tail,CINGULIN-LIKE PROTEIN 1-RELATED,Myosin rod fragments
Pus7,True,0.5857,tRNA pseudouridine synthase D (TruD),TRNA PSEUDOURIDINE SYNTHASE D,Pseudouridine synthase
Cdc6,True,0.537,"Cdc6/ORC-like, ATPase lid domain",CELL DIVISION CONTROL PROTEIN 6-RELATED,"""Winged helix"" DNA-binding domain"
ZC3H3,True,0.5921,N/A,CCCH ZINGC FINGER,N/A
Nulp1,True,0.783,Transcriptional repressor TCF25,NULP1-RELATED,N/A
Cpsf6,True,0.9609,RNA recognition motif,CLEAVAGE AND POLYADENYLATION SPECIFIC FACTOR,"RNA-binding domain, RBD"
ERR,True,0.9891,"Double treble clef zinc finger, C4 type",KNIRPS-RELATED PROTEIN-RELATED,Nuclear receptor ligand-binding domain
CG13676,True,0.8721,Chitin binding Peritrophin-A domain,FI18007P1-RELATED,Invertebrate chitin-binding proteins
exex,True,0.9942,Homeodomain,MOTOR NEURON AND PANCREAS HOMEOBOX PROTEIN,Homeodomain-like
CG8209,True,0.6378,UBA-like domain,UBX DOMAIN-CONTAINING PROTEIN 1,UBA-like
Pdp1,True,0.9592,Basic region leucine zipper,THYROTROPH EMBRYONIC FACTOR RELATED,Leucine zipper domain
t-Grip84,True,0.9291,Gamma tubulin complex component N-terminal,GAMMA TUBULIN COMPLEX PROTEIN,N/A
mei-P22,True,0.6524,N/A,N/A,N/A
CG14835,True,0.6513,Protamine and protamine like,N/A,N/A
CTCF,True,0.9957,"Zinc finger, C2H2 type",PR DOMAIN ZINC FINGER PROTEIN,beta-beta-alpha zinc fingers
CG10147,True,0.9743,Zinc-finger associated domain (zf-AD),KRAB AND ZINC FINGER DOMAIN-CONTAINING,beta-beta-alpha zinc fingers
Prdm13,True,0.9939,"Zinc finger, C2H2 type",ZINC FINGER PROTEIN,beta-beta-alpha zinc fingers
CG7386,True,0.9927,Zinc-finger associated domain (zf-AD),ZINC FINGER PROTEIN,Glucocorticoid receptor-like (DNA-binding domain)
D19A,True,0.9994,C2H2-type zinc finger,ZINC FINGER PROTEIN,beta-beta-alpha zinc fingers
D19B,True,0.9832,Zinc-finger associated domain (zf-AD),ZINC FINGER PROTEIN,beta-beta-alpha zinc fingers
CG10274,True,0.996,"Zinc finger, C2H2 type",ZINC FINGER PROTEIN,beta-beta-alpha zinc fingers
CG13287,True,0.9713,"Zinc finger, C2H2 type",AGAP007109-PA,beta-beta-alpha zinc fingers
tant,True,0.816,Drosophila Tantalus-like,N/A,N/A
ssp6,True,0.6717,PDZ domain,GENERAL RECEPTOR FOR PHOSPHOINOSITIDES 1-ASSOCIATED SCAFFOLD PROTEIN-RELATED,PDZ domain-like
Ets65A,True,0.9979,Ets-domain,ETS,"""Winged helix"" DNA-binding domain"
CG15446,True,0.9551,N/A,N/A,beta-beta-alpha zinc fingers
CG1529,True,0.9816,C2H2-type zinc finger,KRAB AND ZINC FINGER DOMAIN-CONTAINING,beta-beta-alpha zinc fingers
tilB,True,0.5241,Leucine-rich repeat,LEUCINE RICH REPEAT PROTEIN,L domain-like
Usp2,True,0.6476,Ubiquitin carboxyl-terminal hydrolase,UBIQUITIN CARBOXYL-TERMINAL HYDROLASE,Cysteine proteinases
CG11929,True,0.602,N/A,N/A,N/A
Elba1,True,0.8656,BEN domain,BEN DOMAIN-CONTAINING PROTEIN 6,N/A
Traf4,True,0.8862,TRAF-type zinc finger,TNF RECEPTOR ASSOCIATED FACTOR,TRAF domain-like
CG15435,True,0.802,Zinc-finger associated domain (zf-AD),N/A,Glucocorticoid receptor-like (DNA-binding domain)
Paris,True,0.9921,Zinc-finger associated domain (zf-AD),ZINC FINGER PROTEIN,Glucocorticoid receptor-like (DNA-binding domain)
CG17612,True,0.9589,Zinc-finger associated domain (zf-AD),KRAB AND ZINC FINGER DOMAIN-CONTAINING,beta-beta-alpha zinc fingers
bowl,True,0.981,"Zinc finger, C2H2 type",ODD-SKIPPED - RELATED,beta-beta-alpha zinc fingers
Reph,True,0.5884,N/A,SI:DKEY-16J16.4,N/A
slp1,True,0.9867,Forkhead domain,FORKHEAD BOX PROTEIN G1,"""Winged helix"" DNA-binding domain"
slp2,True,0.9987,Forkhead domain,FORKHEAD BOX PROTEIN G1,"""Winged helix"" DNA-binding domain"
CG3407,True,0.966,"Zinc finger, C2H2 type",ZNF44 PROTEIN,beta-beta-alpha zinc fingers
CG12795,True,0.6151,AN1-like Zinc finger,ARSENITE INDUCUBLE RNA ASSOCIATED PROTEIN AIP-1-RELATED,AN1-like Zinc finger
drm,True,0.9952,"Zinc finger, C2H2 type",ODD-SKIPPED - RELATED,beta-beta-alpha zinc fingers
odd,True,0.987,"Zinc finger, C2H2 type",ODD-SKIPPED - RELATED,beta-beta-alpha zinc fingers
sob,True,0.9948,"Zinc finger, C2H2 type",ODD-SKIPPED - RELATED,beta-beta-alpha zinc fingers
Spindly,True,0.6204,N/A,N/A,N/A
CG3213,True,0.6567,N/A,OUTER DENSE FIBER OF SPERM TAILS 2,N/A
msl-2,True,0.6564,zinc RING finger of MSL2,MSL2-RELATED,RING/U-box
Mad,True,0.9959,MH1 domain,SMAD,SMAD/FHA domain
Elba2,True,0.9988,BEN domain,BEN DOMAIN-CONTAINING PROTEIN 6,N/A
Taf10b,True,0.5629,Transcription initiation factor TFIID 23-30kDa subunit,TRANSCRIPTION INITIATION FACTOR TFIID SUBUNIT 10,N/A
insv,True,0.9969,BEN domain,BEN DOMAIN-CONTAINING PROTEIN 6,N/A
Mterf4,True,0.5806,mTERF,CGI-12 PROTEIN-RELATED,N/A
Atxn7,True,0.912,N/A,"ATAXIN 7, ISOFORM A",N/A
aop,True,0.9831,Sterile alpha motif (SAM)/Pointed domain,ETS,"""Winged helix"" DNA-binding domain"
CG11723,True,0.5305,BESS motif,MADF DOMAIN TRANSCRIPTION FACTOR,N/A
erm,True,0.989,C2H2-type zinc finger,ZINC FINGER PROTEIN,beta-beta-alpha zinc fingers
CG14352,True,0.5085,Myb/SANT-like DNA-binding domain,N/A,N/A
Charon,True,0.9345,Ankyrin repeats (3 copies),NF-KAPPA-B INHIBITOR ALPHA,Ankyrin repeat
Pino,True,0.9127,N/A,N/A,N/A
al,True,0.9986,OAR motif,HOMEOBOX PROTEIN ARISTALESS,Homeodomain-like
dac,True,0.9456,SKI/SNO/DAC Dachshund homology domain,DACHSHUND,Putative DNA-binding domain
scro,True,0.8754,Homeodomain,HOMEOBOX PROTEIN NKX,Homeodomain-like
TfAP-2,True,0.9946,Transcription factor AP-2,TRANSCRIPTION FACTOR AP-2,N/A
